Node	State	ProbSum	Father	StateFather	ProbSumFather
S29	1	2.58	N3	1	0.9904
S30	1	1	N4	1	1.005
S31	1	1	N5	1	1.007
S32	1	2	N5	1	1.007
N5	1	1.007	N4	1	1.005
N4	1	1.005	N3	1	0.9904
N3	1	0.9904	N2	1	0.9904
S39	1	4.154	N9	1	4.222
S41	1	4.107	N10	1	4.118
S40	1	4.106	N10	1	4.118
N10	1	4.118	N9	1	4.222
N9	1	4.222	N8	1	4.24
S42	1	4.163	N11	1	4.23
S35	1	4.133	N15	1	4.156
S38	1	4.148	N15	1	4.156
N15	1	4.156	N14	1	4.156
S36	1	4.156	N14	1	4.156
N14	1	4.156	N13	1	4.159
S37	1	4.156	N13	1	4.159
N13	1	4.159	N12	1	4.208
S34	1	4.138	N16	1	4.154
S33	1	4.139	N16	1	4.154
N16	1	4.154	N12	1	4.208
N12	1	4.208	N11	1	4.23
N11	1	4.23	N8	1	4.24
N8	1	4.24	N7	1	3.832
S56	1	3.33	N17	1	3.845
S46	1	4.261	N19	1	4.302
S43	1	4.233	N21	1	4.254
S49	1	4.152	N22	1	4.248
S44	1	4.239	N23	1	4.241
S45	1	4.234	N23	1	4.241
N23	1	4.241	N22	1	4.248
N22	1	4.248	N21	1	4.254
N21	1	4.254	N20	1	4.287
S48	1	4.222	N24	1	4.271
S47	1	4.233	N24	1	4.271
N24	1	4.271	N20	1	4.287
N20	1	4.287	N19	1	4.302
N19	1	4.302	N18	1	3.846
S50	1	3.327	N25	1	3.356
S53	1	3.326	N26	1	3.328
S55	1	3.324	N28	1	3.326
S52	1	3.325	N29	1	3.325
S51	1	3.325	N29	1	3.325
N29	1	3.325	N28	1	3.326
N28	1	3.326	N27	1	3.327
S54	1	3.326	N27	1	3.327
N27	1	3.327	N26	1	3.328
N26	1	3.328	N25	1	3.356
N25	1	3.356	N18	1	3.846
N18	1	3.846	N17	1	3.845
N17	1	3.845	N7	1	3.832
N7	1	3.832	N6	1	1.387
S27	1	2	N33	1	2
S26	1	2	N33	1	2
N33	1	2	N32	1	2
S25	1	2	N32	1	2
N32	1	2	N31	1	1.997
S23	1	2	N34	1	2
S21	1	2	N36	1	2
S22	1	2	N36	1	2
N36	1	2	N35	1	2
S6	1	2	N42	1	2
S10	1	2	N43	1	2
S11	1	2	N43	1	2
N43	1	2	N42	1	2
N42	1	2	N41	1	2
S12	1	2	N41	1	2
N41	1	2	N40	1	2
S7	1	2	N40	1	2
N40	1	2	N39	1	2
S9	1	2	N44	1	2
S8	1	2	N44	1	2
N44	1	2	N39	1	2
N39	1	2	N38	1	2
S15	1	2	N47	1	2
S18	1	2	N50	1	2
S20	1	2	N50	1	2
N50	1	2	N49	1	2
S19	1	2	N49	1	2
N49	1	2	N48	1	2
S16	1	2	N51	1	2
S17	1	2	N51	1	2
N51	1	2	N48	1	2
N48	1	2	N47	1	2
N47	1	2	N46	1	2
S14	1	2	N46	1	2
N46	1	2	N45	1	2
S13	1	2	N45	1	2
N45	1	2	N38	1	2
N38	1	2	N37	1	2
S24	1	2	N37	1	2
N37	1	2	N35	1	2
N35	1	2	N34	1	2
N34	1	2	N31	1	1.997
N31	1	1.997	N30	1	1.37
S28	1	2.013	N52	1	1.239
S4	1	1	N53	1	1.161
S5	1	4.007	N54	1	1.173
S2	1	1	N55	1	1.015
S3	1	1	N56	1	1.002
S1	1	1	N56	1	1.002
N56	1	1.002	N55	1	1.015
N55	1	1.015	N54	1	1.173
N54	1	1.173	N53	1	1.161
N53	1	1.161	N52	1	1.239
N52	1	1.239	N30	1	1.37
N30	1	1.37	N6	1	1.387
N6	1	1.387	N2	1	0.9904
N2	1	0.9904	N1	1	0.7473
S57	1	2.103	N1	1	0.7473
N1	1	0.7473	NoFather2Root	NA	NA
