Pos	Node	Prob_Of_Indel
43	N1	0.2402
43	N10	0.9882
43	N11	0.9998
43	N12	1
43	N13	1
43	N14	1
43	N15	1
43	N16	1
43	N17	1
43	N18	1
43	N19	1
43	N2	5.695e-09
43	N20	1
43	N21	1
43	N22	1
43	N23	1
43	N24	1
43	N25	1
43	N26	1
43	N27	1
43	N28	1
43	N29	1
43	N3	0.00236
43	N30	1
43	N31	1
43	N32	1
43	N33	1
43	N34	1
43	N35	1
43	N36	1
43	N37	1
43	N38	1
43	N39	1
43	N4	0.007864
43	N40	1
43	N41	1
43	N42	1
43	N43	1
43	N44	1
43	N45	1
43	N46	1
43	N47	1
43	N48	1
43	N49	1
43	N5	0.0003288
43	N50	1
43	N51	1
43	N52	1
43	N53	1
43	N54	1
43	N55	1
43	N56	1
43	N57	1
43	N58	1
43	N59	1
43	N6	2.874e-05
43	N60	1
43	N61	1
43	N7	8.032e-05
43	N8	2.311e-08
43	N9	2.384e-08
115	N1	0.09679
115	N10	0.0003972
115	N11	0.0001154
115	N12	3.211e-06
115	N13	2.242e-06
115	N14	1.196e-06
115	N15	8.712e-07
115	N16	2.923e-07
115	N17	2.439e-07
115	N18	2.608e-07
115	N19	2.417e-13
115	N2	4.896e-09
115	N20	2.255e-06
115	N21	1.14e-06
115	N22	3.897e-06
115	N23	5.243e-07
115	N24	2.324e-08
115	N25	4.879e-06
115	N26	6.595e-06
115	N27	2.004e-06
115	N28	1.165e-05
115	N29	2.943e-06
115	N3	0.0002185
115	N30	7.325e-08
115	N31	1.122e-13
115	N32	1.967e-08
115	N33	2.532e-05
115	N34	3.113e-06
115	N35	2.993e-05
115	N36	4.06e-05
115	N37	6.07e-12
115	N38	6.612e-15
115	N39	1.258e-07
115	N4	7.178e-05
115	N40	3.581e-08
115	N41	8.411e-07
115	N42	4.446e-09
115	N43	3.542e-14
115	N44	4.83e-17
115	N45	2.657e-17
115	N46	8.797e-14
115	N47	1.063e-16
115	N48	2.927e-14
115	N49	5.852e-14
115	N5	2.13e-05
115	N50	5.51e-14
115	N51	2.91e-14
115	N52	2.911e-14
115	N53	5.831e-20
115	N54	2.919e-14
115	N55	6.958e-17
115	N56	3.479e-09
115	N57	0.0001034
115	N58	8.661e-05
115	N59	6.901e-05
115	N6	6.039e-05
115	N60	0.0003313
115	N61	0.00446
115	N7	2.8e-05
115	N8	7.608e-08
115	N9	1.051e-07
116	N1	0.09679
116	N10	0.0003972
116	N11	0.0001154
116	N12	3.211e-06
116	N13	2.242e-06
116	N14	1.196e-06
116	N15	8.712e-07
116	N16	2.923e-07
116	N17	2.439e-07
116	N18	2.608e-07
116	N19	2.417e-13
116	N2	4.896e-09
116	N20	2.255e-06
116	N21	1.14e-06
116	N22	3.897e-06
116	N23	5.243e-07
116	N24	2.324e-08
116	N25	4.879e-06
116	N26	6.595e-06
116	N27	2.004e-06
116	N28	1.165e-05
116	N29	2.943e-06
116	N3	0.0002185
116	N30	7.325e-08
116	N31	1.122e-13
116	N32	1.967e-08
116	N33	2.532e-05
116	N34	3.113e-06
116	N35	2.993e-05
116	N36	4.06e-05
116	N37	6.07e-12
116	N38	6.612e-15
116	N39	1.258e-07
116	N4	7.178e-05
116	N40	3.581e-08
116	N41	8.411e-07
116	N42	4.446e-09
116	N43	3.542e-14
116	N44	4.83e-17
116	N45	2.657e-17
